ཆ འ {'rel_weight': 0.9908002866099043, 'rel_center': 0.9997988723328084, 'rel_inertia': 0.9999051837183821}
ཆ ཡ {'rel_weight': 0.9902763192853985, 'rel_center': 0.9995435096456446, 'rel_inertia': 0.9998374754813404}
ཆ ར {'rel_weight': 0.9860985159905359, 'rel_center': 0.9997235769690749, 'rel_inertia': 0.9998724849924312}
ཆ ལ {'rel_weight': 0.9865778903512539, 'rel_center': 0.9997504808211566, 'rel_inertia': 0.9998887648523048}
ཆ ཤ {'rel_weight': 0.9971687192508389, 'rel_center': 0.9980493679788724, 'rel_inertia': 0.999728128941085}
ཆ ས {'rel_weight': 0.994955793422873, 'rel_center': 0.9992191017285813, 'rel_inertia': 0.9999830067302447}
ཆ ཧ {'rel_weight': 0.9992868850307559, 'rel_center': 0.9984493530847589, 'rel_inertia': 0.9997285059399645}
ཆ ཨ {'rel_weight': 0.9999968404884038, 'rel_center': 0.9996987418545318, 'rel_inertia': 0.9998754862047635}
ཆ ཀྵ {'rel_weight': 0.9793168535318456, 'rel_center': 0.9954956724343715, 'rel_inertia': 0.9988863963197508}
ཆ ཪ {'rel_weight': 0.985981459460593, 'rel_center': 0.9994896287229129, 'rel_inertia': 0.9998936323089507}
ཆ ཫ {'rel_weight': 0.979847139879544, 'rel_center': 0.9989361526829607, 'rel_inertia': 0.9997405764816625}
ཆ ཬ {'rel_weight': 0.979847139879544, 'rel_center': 0.9989361526829607, 'rel_inertia': 0.9997405764816625}
ཇ ཀ {'rel_weight': 0.9977492769429176, 'rel_center': 0.998044249387531, 'rel_inertia': 0.9995970448154695}
ཇ ཁ {'rel_weight': 0.9981673359784276, 'rel_center': 0.999300503014901, 'rel_inertia': 0.9998957640271002}
ཇ ག {'rel_weight': 0.9976520736664731, 'rel_center': 0.9982916854092163, 'rel_inertia': 0.9995825107704434}
ཇ ང {'rel_weight': 0.9925792802037781, 'rel_center': 0.9997883002767006, 'rel_inertia': 0.9999633335308984}
ཇ ཅ {'rel_weight': 0.999427431037272, 'rel_center': 0.9989750478052444, 'rel_inertia': 0.9999938595856807}
ཇ ཆ {'rel_weight': 0.9949987923211034, 'rel_center': 0.9991085565535024, 'rel_inertia': 0.9999511874011149}
ཇ ཇ {'rel_weight': 0.9981286609669545, 'rel_center': 0.9997791893660498, 'rel_inertia': 0.9999465025735713}
ཇ ཉ {'rel_weight': 0.9961554223193476, 'rel_center': 0.9975001075661502, 'rel_inertia': 0.9997271708326627}
ཇ ཏ {'rel_weight': 0.9996002287719494, 'rel_center': 0.998621570783503, 'rel_inertia': 0.9996280098066206}
ཇ ཐ {'rel_weight': 0.9991738085557293, 'rel_center': 0.9987898975785338, 'rel_inertia': 0.9999786282657889}
ཇ ད {'rel_weight': 0.9999231839275692, 'rel_center': 0.9979540986548907, 'rel_inertia': 0.9995619962318607}
ཇ ན {'rel_weight': 0.9946950027552995, 'rel_center': 0.9978355921395845, 'rel_inertia': 0.9996136222312122}
ཇ པ {'rel_weight': 0.9913139548563012, 'rel_center': 0.9991154413083253, 'rel_inertia': 0.9999210356942191}
ཇ ཕ {'rel_weight': 0.9943602116950504, 'rel_center': 0.9990287342760897, 'rel_inertia': 0.9999469023427803}
ཇ བ {'rel_weight': 0.9942933222493687, 'rel_center': 0.9989430935549901, 'rel_inertia': 0.9999824015873778}
ཇ མ {'rel_weight': 0.9992821600731207, 'rel_center': 0.9992553289725458, 'rel_inertia': 0.9999796738248999}
ཇ ཙ {'rel_weight': 0.9932568796731454, 'rel_center': 0.9973506979874648, 'rel_inertia': 0.9995576754933808}
ཇ ཚ {'rel_weight': 0.9890344834144951, 'rel_center': 0.9975973202625025, 'rel_inertia': 0.9995080191856565}
ཇ ཛ {'rel_weight': 0.9921615650001093, 'rel_center': 0.9979256816800164, 'rel_inertia': 0.9994979573615648}
ཇ ཝ {'rel_weight': 0.9996476087959739, 'rel_center': 0.9983598548275303, 'rel_inertia': 0.9999015477195038}
ཇ ཞ {'rel_weight': 0.9927440605895865, 'rel_center': 0.997119337188049, 'rel_inertia': 0.9996243711609405}
ཇ ཟ {'rel_weight': 0.9981534006772438, 'rel_center': 0.9988740575414445, 'rel_inertia': 0.999955089679031}
ཇ འ {'rel_weight': 0.9937498455032059, 'rel_center': 0.9989467124185941, 'rel_inertia': 0.9999033330968019}
